drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_09_batch_00_collet_1_31-01-2025,34,0.71102655,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,35,0.54724413,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,36,0.76989627,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,37,0.66220117,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,38,0.8283121,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,39,0.71075916,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,40,0.79245436,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,41,0.871823,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,42,0.37576303,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,43,0.2109406,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,44,0.9356635,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,45,0.9605287,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,46,0.44408894,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,47,0.696656,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,48,0.6767036,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,49,0.8671509,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,50,0.9609992,1,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,51,0.9879078,1,0.1,1,43
drill_4mm_10_batch_00_collet_1_04-02-2025,1,0.008257567,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,2,0.8246866,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,3,0.04406141,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,4,0.010242142,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,5,0.010873892,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,6,0.061225202,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,7,0.10949621,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,8,0.09364396,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,9,0.8526306,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,10,0.43704298,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,11,0.28990898,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,12,0.04546224,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,13,0.11251262,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,14,0.47412798,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,15,0.66808766,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,16,0.47694516,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,17,0.8104986,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,18,0.73884016,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,19,0.72654706,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,20,0.32181007,0,0.7466241121292114,0,15
drill_4mm_10_batch_00_collet_1_04-02-2025,21,0.38810834,0,0.7466241121292114,0,15
